Target Author,Target Author Name,Citing Paper,Citing Paper Title,Citing Paper AuthorsNumber of Authors,Citation Count
22954842600,Vasilakos A.,2-s2.0-84889608731,A survey on ambient intelligence in healthcare,"Acampora G,Cook D.J,Rashidi P,Vasilakos A.V",4,4
22954842600,Vasilakos A.,2-s2.0-84859261134,Definition and synergies of cognitive infocommunications,"Baranyi P,Csapo A",2,1
22954842600,Vasilakos A.,2-s2.0-84861953887,Molecular communication and networking: Opportunities and challenges,"Nakano T,Moore M.J,Wei F,Vasilakos A.V,Shuai J",5,1
22954842600,Vasilakos A.,2-s2.0-84884708571,A survey on ambient-assisted living tools for older adults,"Rashidi P,Mihailidis A",2,1
22954842600,Vasilakos A.,2-s2.0-84906788546,Wireless body area networks: A survey,"Movassaghi S,Abolhasan M,Lipman J,Smith D,Jamalipour A",5,1
