Target Author,Citing Paper,Number of Authors,Overcite Count
10141917500,2-s2.0-84990914083,4,1
10141917500,2-s2.0-84990961228,5,1
10141917500,2-s2.0-85006277730,4,1
10141917500,2-s2.0-85006802717,4,1
10141917500,2-s2.0-85007049734,2,1
10141917500,2-s2.0-85012216612,6,1
10141917500,2-s2.0-85013321911,6,1
10141917500,2-s2.0-85013420782,4,1
10141917500,2-s2.0-85013643027,6,1
10141917500,2-s2.0-85013672972,4,1
10141917500,2-s2.0-85013822687,3,1
10141917500,2-s2.0-85014228455,3,1
10141917500,2-s2.0-85015237560,6,1
10141917500,2-s2.0-85015247275,4,1
10141917500,2-s2.0-85011960846,1,1
10141917500,2-s2.0-85011684977,4,1
10141917500,2-s2.0-85011061617,1,1
10141917500,2-s2.0-85007398281,2,1
10141917500,2-s2.0-85009739583,6,1
10141917500,2-s2.0-85009806852,5,1
10141917500,2-s2.0-85009813102,3,1
10141917500,2-s2.0-85009875697,5,1
10141917500,2-s2.0-85010034605,5,1
10141917500,2-s2.0-85010046619,9,1
10141917500,2-s2.0-85010203576,3,1
10141917500,2-s2.0-85010210731,4,1
10141917500,2-s2.0-9744219708,2,1
10141917500,2-s2.0-84961255811,6,1
10141917500,2-s2.0-84964649323,4,1
10141917500,2-s2.0-84964687957,2,1
10141917500,2-s2.0-84964802659,3,1
10141917500,2-s2.0-84964829881,4,1
10141917500,2-s2.0-84964853741,3,1
10141917500,2-s2.0-84964906480,1,1
10141917500,2-s2.0-84964939523,3,1
10141917500,2-s2.0-84965171497,3,1
10141917500,2-s2.0-84966524840,3,1
10141917500,2-s2.0-84964523866,3,1
10141917500,2-s2.0-84964266905,6,1
10141917500,2-s2.0-84963983910,4,1
10141917500,2-s2.0-84961300061,3,1
10141917500,2-s2.0-84961575920,4,1
10141917500,2-s2.0-84961614125,3,1
10141917500,2-s2.0-84961725681,10,1
10141917500,2-s2.0-84962197755,2,1
10141917500,2-s2.0-84962643855,4,1
10141917500,2-s2.0-84962911747,4,1
10141917500,2-s2.0-84963861044,2,1
10141917500,2-s2.0-84963900791,2,1
10141917500,2-s2.0-84966650481,2,1
10141917500,2-s2.0-84968538415,5,1
10141917500,2-s2.0-84968750750,3,1
10141917500,2-s2.0-84976298016,3,1
10141917500,2-s2.0-84976344678,4,1
10141917500,2-s2.0-84978986148,4,1
10141917500,2-s2.0-84979084647,2,1
10141917500,2-s2.0-84979518153,11,1
10141917500,2-s2.0-84981303127,7,1
10141917500,2-s2.0-84981306997,7,1
10141917500,2-s2.0-84982279801,4,1
10141917500,2-s2.0-84983179348,6,1
10141917500,2-s2.0-84975687586,4,1
10141917500,2-s2.0-84975686825,4,1
10141917500,2-s2.0-84975104888,3,1
10141917500,2-s2.0-84969761337,4,1
10141917500,2-s2.0-84969780669,2,1
10141917500,2-s2.0-84973866273,2,1
10141917500,2-s2.0-84973884833,3,1
10141917500,2-s2.0-84973905351,2,1
10141917500,2-s2.0-84973922912,4,1
10141917500,2-s2.0-84974573484,5,1
10141917500,2-s2.0-84974652533,5,1
10141917500,2-s2.0-84974715995,4,1
10141917500,2-s2.0-84983378313,2,1
10141917500,2-s2.0-84903843221,3,1
10141917500,2-s2.0-1942468691,2,1
10141917500,2-s2.0-33746291052,4,1
10141917500,2-s2.0-33746559177,4,1
10141917500,2-s2.0-33748933704,2,1
10141917500,2-s2.0-33750862127,2,1
10141917500,2-s2.0-33750918319,2,1
10141917500,2-s2.0-33845189123,3,1
10141917500,2-s2.0-33845486198,2,1
10141917500,2-s2.0-33845617092,3,1
10141917500,2-s2.0-33845871233,2,1
10141917500,2-s2.0-33745770835,1,1
10141917500,2-s2.0-33644746351,5,1
10141917500,2-s2.0-33244460816,2,1
10141917500,2-s2.0-21244480499,3,1
10141917500,2-s2.0-21644478562,2,1
10141917500,2-s2.0-23944506025,2,1
10141917500,2-s2.0-24144487104,4,1
10141917500,2-s2.0-2642521446,2,1
10141917500,2-s2.0-27144462671,2,1
10141917500,2-s2.0-27944480946,6,1
10141917500,2-s2.0-3042531430,4,1
10141917500,2-s2.0-3042537611,2,1
10141917500,2-s2.0-33847710601,4,1
10141917500,2-s2.0-33947162959,3,1
10141917500,2-s2.0-33947398737,2,1
10141917500,2-s2.0-48349101371,2,1
10141917500,2-s2.0-48649108038,2,1
10141917500,2-s2.0-4944224957,2,1
10141917500,2-s2.0-50249163211,3,1
10141917500,2-s2.0-50649104608,4,1
10141917500,2-s2.0-50949125156,3,1
10141917500,2-s2.0-51049094236,2,1
10141917500,2-s2.0-0011012666,4,1
10141917500,2-s2.0-51849101508,1,1
10141917500,2-s2.0-43749083688,6,1
10141917500,2-s2.0-42549088746,4,1
10141917500,2-s2.0-39649099322,2,1
10141917500,2-s2.0-34047162991,3,1
10141917500,2-s2.0-34250684182,3,1
10141917500,2-s2.0-34547440822,2,1
10141917500,2-s2.0-35048849149,3,1
10141917500,2-s2.0-35048892444,3,1
10141917500,2-s2.0-35248848289,4,1
10141917500,2-s2.0-36349002220,1,1
10141917500,2-s2.0-37749025387,6,1
10141917500,2-s2.0-38149131428,3,1
10141917500,2-s2.0-58049168407,4,1
10141917500,2-s2.0-0030260123,2,1
10141917500,2-s2.0-0035366668,3,1
10141917500,2-s2.0-0035382131,4,1
10141917500,2-s2.0-0035421295,3,1
10141917500,2-s2.0-0035521903,1,1
10141917500,2-s2.0-0035703992,2,1
10141917500,2-s2.0-0035772680,2,1
10141917500,2-s2.0-0035786219,2,1
10141917500,2-s2.0-0036028343,1,1
10141917500,2-s2.0-0036030361,1,1
10141917500,2-s2.0-0035183149,4,1
10141917500,2-s2.0-0034865553,2,1
10141917500,2-s2.0-0034835390,2,1
10141917500,2-s2.0-0031207412,4,1
10141917500,2-s2.0-0031638027,3,1
10141917500,2-s2.0-0032066546,3,1
10141917500,2-s2.0-0032331554,2,1
10141917500,2-s2.0-0033170280,2,1
10141917500,2-s2.0-0033684234,3,1
10141917500,2-s2.0-0034228767,2,1
10141917500,2-s2.0-0034336875,2,1
10141917500,2-s2.0-0034779453,2,1
10141917500,2-s2.0-0036279698,6,1
10141917500,2-s2.0-0036283084,3,1
10141917500,2-s2.0-0036705656,6,1
10141917500,2-s2.0-10444223006,4,1
10141917500,2-s2.0-10444263045,3,1
10141917500,2-s2.0-11144255052,4,1
10141917500,2-s2.0-11244287450,2,1
10141917500,2-s2.0-13944254397,4,1
10141917500,2-s2.0-14644436303,3,1
10141917500,2-s2.0-1642505648,4,1
10141917500,2-s2.0-18144401954,3,1
10141917500,2-s2.0-1842680210,2,1
10141917500,2-s2.0-0343081688,3,1
10141917500,2-s2.0-0342756823,1,1
10141917500,2-s2.0-0242526004,3,1
10141917500,2-s2.0-0037000910,2,1
10141917500,2-s2.0-0037110963,5,1
10141917500,2-s2.0-0037633334,3,1
10141917500,2-s2.0-0038487231,3,1
10141917500,2-s2.0-0038695127,3,1
10141917500,2-s2.0-0041625774,2,1
10141917500,2-s2.0-0042362304,4,1
10141917500,2-s2.0-0042827845,3,1
10141917500,2-s2.0-0141458251,2,1
10141917500,2-s2.0-18844398113,3,1
10141917500,2-s2.0-84861691817,4,1
10141917500,2-s2.0-84870328412,5,1
10141917500,2-s2.0-84871242851,4,1
10141917500,2-s2.0-84873621172,5,1
10141917500,2-s2.0-84877248482,5,1
10141917500,2-s2.0-84877636063,4,1
10141917500,2-s2.0-84878630318,5,1
10141917500,2-s2.0-84878955174,3,1
10141917500,2-s2.0-84881058335,2,1
10141917500,2-s2.0-84881333768,3,1
10141917500,2-s2.0-84870191689,3,1
10141917500,2-s2.0-84870009727,3,1
10141917500,2-s2.0-84869111518,2,1
10141917500,2-s2.0-84863256363,4,1
10141917500,2-s2.0-84864372073,2,1
10141917500,2-s2.0-84866426402,3,1
10141917500,2-s2.0-84866621699,3,1
10141917500,2-s2.0-84866630886,3,1
10141917500,2-s2.0-84867452052,2,1
10141917500,2-s2.0-84867473164,3,1
10141917500,2-s2.0-84867474525,6,1
10141917500,2-s2.0-84867800400,6,1
10141917500,2-s2.0-84883306217,5,1
10141917500,2-s2.0-84883344010,3,1
10141917500,2-s2.0-84883790961,3,1
10141917500,2-s2.0-84893475439,2,1
10141917500,2-s2.0-84894635241,3,1
10141917500,2-s2.0-84896771354,2,1
10141917500,2-s2.0-84896978437,1,1
10141917500,2-s2.0-84897406653,6,1
10141917500,2-s2.0-84898584344,2,1
10141917500,2-s2.0-84900854535,3,1
10141917500,2-s2.0-84901204623,1,1
10141917500,2-s2.0-84901337408,3,1
10141917500,2-s2.0-84893294837,6,1
10141917500,2-s2.0-84893258039,5,1
10141917500,2-s2.0-84893255946,7,1
10141917500,2-s2.0-84883860882,3,1
10141917500,2-s2.0-84885168727,2,1
10141917500,2-s2.0-84886490404,1,1
10141917500,2-s2.0-84889061256,5,1
10141917500,2-s2.0-84889856093,4,1
10141917500,2-s2.0-84890836618,4,1
10141917500,2-s2.0-84890875334,2,1
10141917500,2-s2.0-84893227781,4,1
10141917500,2-s2.0-84893251799,3,1
10141917500,2-s2.0-84901936228,6,1
10141917500,2-s2.0-65249134331,3,1
10141917500,2-s2.0-77952589700,3,1
10141917500,2-s2.0-77952805314,4,1
10141917500,2-s2.0-77952961790,2,1
10141917500,2-s2.0-77954941769,2,1
10141917500,2-s2.0-77955298945,3,1
