Target Author,Citing Paper,Number of Authors,Overcite Count
22954842600,2-s2.0-84937139616,4,8
22954842600,2-s2.0-84938815905,4,8
22954842600,2-s2.0-84939218846,2,8
22954842600,2-s2.0-84940707135,4,8
22954842600,2-s2.0-84941207537,3,8
22954842600,2-s2.0-84944705192,2,8
22954842600,2-s2.0-84947493583,3,8
22954842600,2-s2.0-84947765084,2,8
22954842600,2-s2.0-84948438445,4,8
22954842600,2-s2.0-84949477067,2,8
22954842600,2-s2.0-84949871273,5,8
22954842600,2-s2.0-84953268640,2,8
22954842600,2-s2.0-84957605078,4,8
22954842600,2-s2.0-84962050637,2,8
22954842600,2-s2.0-84962109919,2,8
22954842600,2-s2.0-84978766563,6,8
22954842600,2-s2.0-84991670819,3,8
22954842600,2-s2.0-84999885223,3,8
22954842600,2-s2.0-84901623253,2,7
22954842600,2-s2.0-84924368818,3,7
22954842600,2-s2.0-84925856739,2,7
22954842600,2-s2.0-84928561342,2,7
22954842600,2-s2.0-84930268555,1,7
22954842600,2-s2.0-84930794378,2,7
22954842600,2-s2.0-84930870582,4,7
22954842600,2-s2.0-84938881438,3,7
22954842600,2-s2.0-84939446074,5,7
22954842600,2-s2.0-84939635179,4,7
22954842600,2-s2.0-84939993306,5,7
22954842600,2-s2.0-84942606920,5,7
22954842600,2-s2.0-84943154320,1,7
22954842600,2-s2.0-84944682850,4,7
22954842600,2-s2.0-84945400198,2,7
22954842600,2-s2.0-84946230140,2,7
22954842600,2-s2.0-84946762157,4,7
22954842600,2-s2.0-84946944829,3,7
22954842600,2-s2.0-84949649137,4,7
22954842600,2-s2.0-84953220175,5,7
22954842600,2-s2.0-84953835471,5,7
22954842600,2-s2.0-84953835872,1,7
22954842600,2-s2.0-84955125708,2,7
22954842600,2-s2.0-84955445998,5,7
22954842600,2-s2.0-84959288265,4,7
22954842600,2-s2.0-84960131576,4,7
22954842600,2-s2.0-84962774987,4,7
22954842600,2-s2.0-84964462334,2,7
22954842600,2-s2.0-84964556320,3,7
22954842600,2-s2.0-84969951955,2,7
22954842600,2-s2.0-84995554098,2,7
22954842600,2-s2.0-85007484021,4,7
22954842600,2-s2.0-84877644821,6,6
22954842600,2-s2.0-84886586610,5,6
22954842600,2-s2.0-84891855291,3,6
22954842600,2-s2.0-84901588408,3,6
22954842600,2-s2.0-84903814938,4,6
22954842600,2-s2.0-84904392228,4,6
22954842600,2-s2.0-84907590293,13,6
22954842600,2-s2.0-84912104871,3,6
22954842600,2-s2.0-84917705815,4,6
22954842600,2-s2.0-84920181628,2,6
22954842600,2-s2.0-84926451640,6,6
22954842600,2-s2.0-84934783722,2,6
22954842600,2-s2.0-84936053181,7,6
22954842600,2-s2.0-84936123182,5,6
22954842600,2-s2.0-84938941044,2,6
22954842600,2-s2.0-84939630130,3,6
22954842600,2-s2.0-84939806735,2,6
22954842600,2-s2.0-84939873193,4,6
22954842600,2-s2.0-84939948722,3,6
22954842600,2-s2.0-84940054981,3,6
22954842600,2-s2.0-84942051783,7,6
22954842600,2-s2.0-84943778934,3,6
